#,Race Name,Based On,Description,STR,INT,PIE,VIT,DEX,SPD,PER
1,Tabby,Human,"Tabbies are the feline breed to which all others in Cat-Wizardry are compared. Perfectly balanced in its statistics, having no particular strengths and no decided weakness, the Tabby serves as a stable and dependable creature regardless of the profession a character eventually enters. RESISTANCES: Although a Tabby has no natural resistances, it has no particular shortcomings, either.",9,8,8,9,9,8,8
2,Siamese,Elf,"Siamese are smallish creatures, with pointed ears and a broad purr. They excel at intellectual pursuits, loving not only what they learn but the study that comes with it as well. Armed with these smarts, Siamese make excellent magic users. Siamese are also nimble creatures, moving their sleek bodies with an above-average ease and speed. RESISTANCES: Siamese, because of their high intelligence, have a natural resistance to hypnosis and sleep spells.",7,10,10,7,9,9,8
3,Bobcat,Dwarf,"Coming from a long line of forest and barn-dwelling folk, Bobcats have a taste for any adventure. They are large beings, but display a remarkable amount of strength. Their hearty stance and high vitality make them a natural for combat-related professions. Also pious creatures, Bobcats make great Soulwrights. RESISTANCES: The Bobcats' robust bodies provide poison resistance, while their heredity provides for magic spell protection.",11,6,10,12,7,7,7
4,Ocelot,Gnome,"In the underground tunnels and cozy nooks, one might just find whole groups of Ocelots in their natural habitat. Typically keeping to themselves, Ocelots are sturdy, strong, and agile creatures; their small, short-legged stance can easily fool opponents in combat. Ocelots are also extremely pious individuals whose zest for learning is virtually unequalled by any other breed. RESISTANCES: Because of their high piety and ancestry, Ocelots possess a resistance to magic spells.",10,7,13,10,8,6,6
5,Bobtail,Hobbit,"A sleek and tiny breed, the Japanese Bobtail is a dexterous and busy type able to maneuver its body (and especially its quick paws) into and out of the tightest situations. The Bobtail is also well known as a charming conversationalist and for its amazing friendliness and hospitality. Bobtails with lesser inclinations frequently use their sweet meows and quick claws to help themselves to goods and information. RESISTANCES: The Japanese Bobtail has resistance to Magic-realm spells.",8,7,6,9,10,7,13
6,Sphynx,Faerie,"The tiniest and most agile breed, Sphynx are delicate and beautiful beings. Their small size and lightning speed give them a naturally low armor class. The Sphynx is also one of the smartest and friendliest creatures. Although not much of a heavy fighter, the Sphynx can make an excellent magic user or thief. RESISTANCES: The Sphynx's long kinship with nature provides resistance to magic spells.",5,11,6,6,10,14,12
7,Bengal,Lizardman,"The Bengal is a wild, serpentine-patterned feline whose origins are close to the jungle. Although it is human-like in its ability to talk and walk upright, the Bengal is not easily reasoned with or personable (actually, others tend to avoid his fierce glare). Its strengths lie in its natural ability to fight... and win. Strong, fast, and hearty, with a mind that thinks ""pounce, hunt, kill,"" the Bengal can be the perfect combatant. RESISTANCES: A wild lack of standard intelligence provides resistance to mental spells, while its thick pelt resists acid.",12,5,5,14,8,10,3
3,Savannah,Dracon,"A mixture of blood between domestic felines and wild servals created this wondrous breed with incredibly unique abilities. While remaining private, the Savannah occasionally ventures out and will accompany another group for reasons of its own. It is strong, dexterous, and hearty, and can make a great Ranger, Thief, or Fighter. The Savannah also has a limited ability to unleash a fierce hiss, breathing acid-like spit upon its opponents! RESISTANCES: Their exotic ancestry gives Savannahs resistance to acid and mental spells.",10,7,6,12,10,8,6
9,Persian,Rawulf,"Persians are devoted and hearty creatures. Descending from a lineage of intelligent, bipedal longhairs, they share their ancestors' caring personality and thick coat as well as an indication of their speed, strength, and dexterity. The Persian's desire to learn, coupled with high piety, also helps it to become an excellent Soulwright. RESISTANCES: The Persian's thick, luxurious hair provides great cold protection.",8,6,12,10,8,8,10
10,Abyssinian,Felpurr,"Like their distant desert ancestors, Abyssinians are fast, smart, and highly personable. They walk on their hind feet and are beautiful creatures with a full, ticked mane of hair covering their bodies. Abyssinians are also intelligent and dexterous. Throughout their evolution, they have relied on their sleek body styling and speed more than actual physical strength, moving their bodies with a grace unknown to virtually any other breed. RESISTANCES: Quick reflexes help them dodge missiles and spells.",7,10,7,7,10,12,10
11,Liger,Mook,"Very magical and mysterious in nature, the Liger's exact origins are entirely unknown. Those skilled in mythology have gone so far as to speculate the patchy-furred Liger may even be of alien origin! Ligers are extremely intelligent and strong creatures, and have a captivating personality sure to charm the likes of most they encounter. RESISTANCES: The Liger's magical nature gives it resistance to magical spells. Its unique coat provides resistance to cold.",10,10,6,10,7,7,9
