skill_id,skill_name,type,energy_cost,target_type,effect_type,effect_amount,element,assigned_classes,assigned_races,description,icon_path,accuracy
sk_super_strike,Overdrive Strike,COMBAT,4,SINGLE_ENEMY,DAMAGE,25,BLADE,Spartan|Amazon|Ronin,,Channels kinetic energy into a devastating melee blow that pierces heavy armor.,res://Data/Skills/Icons/super_strike.png,85
sk_shield_bash,Kinetic Slam,COMBAT,3,SINGLE_ENEMY,DAMAGE,15,BASH,Spartan|Crusader,,Slams an opponent with a reinforced riot shield to deal blunt damage and stun.,res://Data/Skills/Icons/shield_bash.png,90
sk_shadow_step,Shadow Flurry,COMBAT,5,SINGLE_ENEMY,DAMAGE,30,BLADE,Shade|Ghostblade,,Teleports behind an enemy in a flash of dark data for a critical backstab.,res://Data/Skills/Icons/shadow_step.png,95
sk_whirlwind,Blade Storm,COMBAT,8,ALL_ENEMIES,DAMAGE,18,BLADE,Ronin|Amazon,,Executes a 360-degree rotational strike slicing all active hostiles in the front row.,res://Data/Skills/Icons/whirlwind.png,80
sk_iron_fist,Seismic Palm,COMBAT,4,SINGLE_ENEMY,DAMAGE,22,BASH,Voidhand,,Focuses chi energy into an unarmed palm thrust that shatters cybernetic plating.,res://Data/Skills/Icons/iron_fist.png,90
sk_snipers_eye,Targeting Lock,COMBAT,3,SINGLE_ENEMY,DAMAGE,28,RANGED,Warden,,Paints a high-precision laser grid on an enemy to maximize ranged damage.,res://Data/Skills/Icons/snipers_eye.png,95
sk_acid_spit,Plasma Spit,COMBAT,5,ALL_ENEMIES,DAMAGE,16,ACID,,Savannah,Racial Skill (Savannah): Unleashes a fierce acid-spit spray across all foes.,res://Data/Skills/Icons/acid_spit.png,85
sk_wild_pounce,Feral Pounce,COMBAT,4,SINGLE_ENEMY,DAMAGE,24,BLADE,,Bengal,Racial Skill (Bengal): Pounces onto a target with razor-sharp claws born from jungle instinct.,res://Data/Skills/Icons/wild_pounce.png,90
sk_purr_renewal,Purr Healing,COMBAT,6,SINGLE_ALLY,HEAL,25,MAGIC,,Sphynx,Racial Skill (Sphynx): Emits a resonant harmonic purr that restores health to an ally.,res://Data/Skills/Icons/purr_renewal.png,100
sk_lockpicking,Cyber Lockpicking,ENVIRONMENT,0,NONE,LOCKPICK,80,NONE,Shade|Ghostblade|Warden,Bobtail,Bypasses security doors and locked hazard chests across the dungeon.,res://Data/Skills/Icons/lockpicking.png,80
sk_stealth_search,Silent Scan,ENVIRONMENT,0,NONE,STEALTH_SEARCH,100,NONE,Shade|Ghostblade|Ronin,Abyssinian,Scans corridors silently while completely suppressing random battle triggers.,res://Data/Skills/Icons/stealth_search.png,100
sk_camp_mastery,Purrgatory Camp,ENVIRONMENT,0,NONE,REST_BOOST,50,NONE,Warden|Amazon|Soulwright,Bobcat,Secures the campsite and increases HP and Energy recovery during rest by 50%.,res://Data/Skills/Icons/camp_mastery.png,100
sk_craft_ammo,Munitions Assembly,INVENTORY,0,NONE,CRAFT_AMMO,10,NONE,Warden|Ghostblade,,Fabricates Iron Arrows and Plasma Bolts from scavenged metal scrap.,res://Data/Skills/Icons/craft_ammo.png,100
sk_craft_throwable,Grenade Workshop,INVENTORY,0,NONE,CRAFT_THROWABLE,3,NONE,Spartan|Amazon|Voidhand,,Constructs throwable EMP charges and shrapnel canisters for frontline fighters.,res://Data/Skills/Icons/craft_throwable.png,100
sk_alchemy,Arcane Synthesis,INVENTORY,0,NONE,CRAFT_POTION,1,NONE,Maester|Archanist|Wizard,,Brews Health Potions and Catnip Elixirs using raw arcane data samples.,res://Data/Skills/Icons/alchemy.png,100
sk_enchant_gear,Rune Imbuement,INVENTORY,0,NONE,ENCHANT_EQUIPMENT,2,NONE,Psynic|Archanist|Maester,,Permanently enchants weapons or armor with elemental power or defense.,res://Data/Skills/Icons/enchant_gear.png,100
