Class ID,Name,Based On,STR,INT,PIE,VIT,DEX,SPD,PER,Spellbook Type,Spell Level,Weaponry,Physical,Academia,Primary Features & Mechanics
1,Spartan,Fighter,12,0,0,0,0,0,0,None,N/A,"Wide array of heavy weaponry, shielding, and primary armor choices.",High starting Hit Points; fully focuses on martial development.,None (No magic access).,High Hit Points; specializes in a wide array of weaponry.
2,Archanist,Mage,0,12,0,0,0,0,0,Archanist,Lvl 1,"Restricted to lightweight tools, staves, and slings.",Highly fragile hit point allocation.,Archanist Spellbook from Level 1; spells learned faster than matching classes.,Learns spells faster than any other class; poor HP and heavy gear restrictions.
3,Soulwright,Priest,0,0,12,0,0,0,8,Soulwright,Lvl 1,"Constrained to blunt weapons (maces, flails, and staves); consecrated weaponry.",Fairly robust health configuration; maximum speed scaling for divine protection.,Soulwright Spellbook from Level 1; rapid Soulwright spell learning.,Deep healing capabilities; rapid Soulwright spell learning; uses consecrated weaponry.
4,Shade,Thief,0,0,0,0,12,8,0,None,N/A,Light stealth weapons and thieving/lockpicking tools.,"High stealth, evasion mechanics, and double daArchanist surprise execution attacks.",None (No magic access); focuses on seamless trap diagnosis and disarming.,Circumvents treasure traps; picks locks and pockets; double daArchanist from shadows.
5,Warden,Ranger,10,8,8,11,10,8,8,Maester,Lvl 3,Specialized ranged bows (receives highly accurate daArchanist bonuses).,High base health pool; specialized scouting and environment hazard identification.,Maester Spellbook unlocked automatically at Experience Level 3.,Specialized scouting for traps/secret walls; excellent accuracy/archery aim.
6,Maester,Alchemist,0,13,0,0,13,0,0,Maester,Lvl 1,Standard alchemical tools; handles formula-bound reagents.,Cannot be silenced in combat due to natural vocal-free text-casting rules.,"Maester Spellbook from Level 1; faster casting progression, potion brewing, and structural manipulation.",Mixes potions; casts spells fastest; cannot be silenced due to natural text-casting rules.
7,Echo,Bard,0,10,0,0,12,8,12,Archanist,Lvl 3,Unique enchanted instruments found in dungeons to evoke item-bound magic.,"High communication, conversational, and oratory/voice skills.",Archanist Spellbook unlocked automatically at Experience Level 3.,Unique instrument usage to evoke item-bound magic; voice/oratory skills.
8,Psynic,Psynic,10,14,0,14,0,0,10,Psynic,Lvl 1,Restricted to basic defensive weapons like staves or slings.,Mind-disruption focus; balanced frontline gates (STR 10 / VIT 14).,Psynic Spellbook from Level 1; rapid learning of mind-altering and clari-sentient incantations.,Masters direct mental intrusion and alteration; clairvoyants and divinators.
9,Amazon,Valkyrie,10,0,11,11,10,11,8,Soulwright,Lvl 3,"Continuous reach and pole weapons (lances, spears).",Tremendous attack accuracy and daArchanist; character selection is restricted exclusively to female heroes.,Soulwright Spellbook unlocked automatically at Experience Level 3.,Restricted to female characters; specialized lance/pole weapon combatant.
10,Wizard,Bishop,0,15,15,0,0,0,8,"Soulwright, Archanist",Lvl 1,Multi-caster utility staves and lighter robes.,Low physical baseline to compensate for massive magical versatility.,Dual-wields both Soulwright and Archanist Spellbooks from Level 1; individual tiers are learned significantly slower.,Dual spellcaster utilizing both major spell frameworks; significantly slower progression curve.
11,Crusader,Lord,12,9,12,12,9,9,14,Soulwright,Lvl 3,"Equipped with top-tier heavy vanguard armors, weapons, and shielding.",Elite heavy vanguard fighter; highly durable with passive front-row secondary healing support.,Soulwright Spellbook unlocked automatically at Experience Level 3.,Elite heavy vanguard combatant; serves as a strong secondary passive support healer.
12,Ronin,Samurai,12,11,0,9,12,14,8,Archanist,Lvl 3,Specialized samurai blades and mid-to-heavy martial armor.,"Exceptional attack velocity, high hit accuracy, and the innate Kirijutsu instant-kill execute passive.",Archanist Spellbook unlocked automatically at Experience Level 3.,Exceptional attack velocity; innate ability to instantly sever/critically execute foes.
13,Voidhand,Monk,13,8,13,0,10,13,8,Psynic,Lvl 3,Extreme proficiency with unarmed / hand-and-foot combat systems.,Intense physical evasion and defensive body tuning to offset lighter protective garments.,Psynic Spellbook unlocked automatically at Experience Level 3.,Exceptional unarmed strike proficiency; enhanced physical evasion and critical blows.
14,Ghostblade,Ninja,12,10,10,12,12,12,0,Maester,Late,Masters specialized ninja weaponry as well as raw fist-and-foot mechanics.,"Master assassin combining stealth attacks, high baseline critical strike rates, and Shade thieving skills.",Maester Spellbook unlocked very late in professional character growth.,"Master assassin combining hand-and-feet combat, critical kills, and stealth attacks."
